resp,urban,region,age,educattgen,marstat,abortion,hdi,hdi_c
1848,rural,east central,18,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
1849,rural,central 2,32,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1850,rural,east central,23,primary/middle school,currently married,0,0.53,-0.03442659358543225
1851,rural,eastern,12,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1852,urban,kampala,15,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1853,urban,kampala,13,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1854,rural,north,34,never attended,widow or widower,0,0.475,-1.0409124148359898
1855,rural,west nile,38,primary/middle school,currently married,0,0.486,-0.8396152505858784
1856,rural,eastern,26,never attended,divorced or separated,0,0.526,-0.10762556240365462
1857,urban,kampala,22,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
1858,rural,south west,40,never attended,currently living with partner,0,0.518,-0.2540235000400994
1859,rural,north,32,primary/middle school,currently married,0,0.475,-1.0409124148359898
1860,rural,south west,32,primary/middle school,currently living with partner,1,0.518,-0.2540235000400994
1861,rural,central 2,19,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1862,rural,north,14,primary/middle school,currently married,1,0.475,-1.0409124148359898
1863,urban,central 2,11,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
1864,rural,eastern,40,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1865,rural,north,22,secondary/post-primary,currently living with partner,0,0.475,-1.0409124148359898
1866,rural,western,21,never attended,currently living with partner,0,0.499,-0.6017186019266556
1867,urban,kampala,25,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
1868,rural,central 2,33,secondary/post-primary,currently married,0,0.586,0.990358969869679
1869,urban,north,12,secondary/post-primary,currently living with partner,0,0.475,-1.0409124148359898
1870,rural,eastern,31,primary/middle school,currently married,1,0.526,-0.10762556240365462
1871,rural,north,23,primary/middle school,currently married,0,0.475,-1.0409124148359898
1872,rural,north,12,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1873,rural,central 2,39,never attended,currently living with partner,0,0.586,0.990358969869679
1874,rural,north,10,primary/middle school,currently living with partner,1,0.475,-1.0409124148359898
1875,urban,karamoja,12,secondary/post-primary,currently married,0,0.45,-1.4984059699498786
1876,rural,east central,29,tertiary/post-secondary,currently living with partner,0,0.53,-0.03442659358543225
1877,rural,east central,10,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1878,rural,south west,30,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1879,urban,central 1,29,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
1880,rural,south west,38,tertiary/post-secondary,divorced or separated,0,0.518,-0.2540235000400994
1881,rural,east central,15,primary/middle school,divorced or separated,1,0.53,-0.03442659358543225
1882,rural,eastern,38,never attended,currently married,1,0.526,-0.10762556240365462
1883,rural,karamoja,15,never attended,currently married,0,0.45,-1.4984059699498786
1884,rural,eastern,22,never attended,currently married,1,0.526,-0.10762556240365462
1885,urban,kampala,31,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
1886,rural,north,39,primary/middle school,currently married,0,0.475,-1.0409124148359898
1887,rural,karamoja,32,never attended,currently married,0,0.45,-1.4984059699498786
1888,rural,south west,12,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1889,rural,south west,15,tertiary/post-secondary,currently living with partner,0,0.518,-0.2540235000400994
1890,rural,eastern,8,primary/middle school,never married,0,0.526,-0.10762556240365462
1891,rural,east central,18,primary/middle school,currently married,0,0.53,-0.03442659358543225
1892,rural,north,22,primary/middle school,currently married,0,0.475,-1.0409124148359898
1893,rural,western,22,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1894,urban,kampala,10,secondary/post-primary,never married,0,0.639,1.9602453067111254
1895,rural,western,13,secondary/post-primary,never married,0,0.499,-0.6017186019266556
1896,rural,eastern,17,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1897,rural,south west,21,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1898,rural,western,28,primary/middle school,currently married,0,0.499,-0.6017186019266556
1899,urban,west nile,14,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
1900,rural,central 2,17,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1901,rural,south west,12,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1902,urban,central 2,15,secondary/post-primary,currently living with partner,1,0.586,0.990358969869679
1903,rural,eastern,15,tertiary/post-secondary,currently living with partner,0,0.526,-0.10762556240365462
1904,rural,eastern,9,primary/middle school,currently married,0,0.526,-0.10762556240365462
1905,rural,western,7,primary/middle school,never married,0,0.499,-0.6017186019266556
1906,rural,north,18,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1907,rural,north,16,primary/middle school,currently living with partner,1,0.475,-1.0409124148359898
1908,urban,kampala,22,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1909,rural,eastern,16,primary/middle school,currently married,0,0.526,-0.10762556240365462
1910,rural,south west,14,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
1911,rural,east central,12,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1912,rural,central 2,9,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1913,rural,south west,22,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1914,rural,western,36,never attended,currently living with partner,0,0.499,-0.6017186019266556
1915,urban,kampala,23,primary/middle school,currently living with partner,1,0.639,1.9602453067111254
1916,rural,east central,16,primary/middle school,currently married,0,0.53,-0.03442659358543225
1917,urban,kampala,11,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1918,urban,kampala,13,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1919,urban,kampala,16,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1920,rural,east central,18,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1921,rural,east central,26,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1922,urban,kampala,13,primary/middle school,never married,0,0.639,1.9602453067111254
1923,rural,west nile,11,primary/middle school,currently married,0,0.486,-0.8396152505858784
1924,urban,east central,15,primary/middle school,currently married,0,0.53,-0.03442659358543225
1925,rural,central 1,12,secondary/post-primary,never married,0,0.54,0.14857082846012368
1926,urban,east central,7,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1927,rural,karamoja,11,secondary/post-primary,currently married,0,0.45,-1.4984059699498786
1928,rural,north,13,primary/middle school,currently married,0,0.475,-1.0409124148359898
1929,urban,north,18,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1930,rural,western,23,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1931,rural,central 2,22,never attended,currently living with partner,0,0.586,0.990358969869679
1932,urban,kampala,14,tertiary/post-secondary,never married,1,0.639,1.9602453067111254
1933,urban,kampala,9,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1934,urban,eastern,21,secondary/post-primary,currently married,1,0.526,-0.10762556240365462
1935,rural,east central,16,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
1936,rural,south west,41,never attended,currently living with partner,0,0.518,-0.2540235000400994
1937,rural,west nile,6,primary/middle school,never married,0,0.486,-0.8396152505858784
1938,rural,east central,13,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1939,rural,eastern,12,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
1940,rural,south west,14,tertiary/post-secondary,currently married,0,0.518,-0.2540235000400994
1941,urban,kampala,26,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
1942,urban,east central,15,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
1943,urban,north,18,never attended,currently living with partner,0,0.475,-1.0409124148359898
1944,urban,central 1,15,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
1945,rural,west nile,18,primary/middle school,currently married,1,0.486,-0.8396152505858784
1946,rural,east central,15,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
1947,rural,south west,8,secondary/post-primary,never married,0,0.518,-0.2540235000400994
1948,rural,karamoja,40,never attended,currently married,1,0.45,-1.4984059699498786
1949,rural,south west,33,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1950,rural,western,14,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
1951,urban,western,23,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1952,rural,north,14,primary/middle school,currently married,1,0.475,-1.0409124148359898
1953,rural,east central,42,never attended,currently living with partner,0,0.53,-0.03442659358543225
1954,rural,south west,11,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1955,rural,karamoja,37,never attended,currently living with partner,0,0.45,-1.4984059699498786
1956,rural,north,11,secondary/post-primary,currently living with partner,0,0.475,-1.0409124148359898
1957,rural,west nile,30,primary/middle school,currently married,1,0.486,-0.8396152505858784
1958,rural,north,18,primary/middle school,currently married,0,0.475,-1.0409124148359898
1959,rural,karamoja,12,secondary/post-primary,currently living with partner,0,0.45,-1.4984059699498786
1960,urban,kampala,15,secondary/post-primary,never married,0,0.639,1.9602453067111254
1961,rural,central 2,31,never attended,currently living with partner,0,0.586,0.990358969869679
1962,rural,east central,12,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
1963,rural,central 1,9,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
1964,rural,central 2,28,secondary/post-primary,divorced or separated,0,0.586,0.990358969869679
1965,rural,north,25,primary/middle school,currently married,0,0.475,-1.0409124148359898
1966,rural,south west,40,primary/middle school,currently married,0,0.518,-0.2540235000400994
1967,urban,east central,9,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1968,urban,kampala,27,primary/middle school,widow or widower,0,0.639,1.9602453067111254
1969,rural,north,9,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1970,rural,south west,30,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1971,rural,east central,30,never attended,currently living with partner,0,0.53,-0.03442659358543225
1972,rural,central 2,23,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1973,rural,central 1,33,primary/middle school,currently living with partner,1,0.54,0.14857082846012368
1974,rural,east central,14,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
1975,rural,west nile,39,primary/middle school,currently married,0,0.486,-0.8396152505858784
1976,urban,kampala,35,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1977,rural,west nile,31,primary/middle school,currently married,0,0.486,-0.8396152505858784
1978,rural,east central,11,primary/middle school,never married,0,0.53,-0.03442659358543225
1979,urban,kampala,18,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
1980,rural,east central,16,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
1981,rural,central 1,20,tertiary/post-secondary,currently married,0,0.54,0.14857082846012368
1982,rural,central 1,25,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
1983,rural,west nile,14,primary/middle school,currently married,0,0.486,-0.8396152505858784
1984,urban,western,30,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1985,rural,west nile,41,never attended,divorced or separated,0,0.486,-0.8396152505858784
1986,rural,east central,16,primary/middle school,currently married,0,0.53,-0.03442659358543225
1987,rural,karamoja,24,never attended,widow or widower,0,0.45,-1.4984059699498786
1988,rural,central 1,22,tertiary/post-secondary,currently married,0,0.54,0.14857082846012368
1989,urban,kampala,16,primary/middle school,currently married,0,0.639,1.9602453067111254
1990,rural,north,40,primary/middle school,currently married,0,0.475,-1.0409124148359898
1991,rural,eastern,28,never attended,currently married,0,0.526,-0.10762556240365462
1992,rural,north,21,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1993,rural,east central,40,never attended,widow or widower,0,0.53,-0.03442659358543225
1994,rural,karamoja,20,never attended,currently married,0,0.45,-1.4984059699498786
1995,urban,kampala,9,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1996,rural,western,15,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
1997,rural,western,17,secondary/post-primary,currently living with partner,0,0.499,-0.6017186019266556
1998,urban,kampala,16,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
1999,rural,central 2,35,primary/middle school,currently married,0,0.586,0.990358969869679
2000,rural,western,21,primary/middle school,currently married,0,0.499,-0.6017186019266556
2001,rural,western,21,secondary/post-primary,never married,0,0.499,-0.6017186019266556
2002,urban,kampala,8,secondary/post-primary,never married,0,0.639,1.9602453067111254
2003,rural,karamoja,11,never attended,currently living with partner,0,0.45,-1.4984059699498786
2004,rural,eastern,11,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
2005,rural,west nile,15,primary/middle school,currently married,0,0.486,-0.8396152505858784
2006,rural,eastern,9,secondary/post-primary,never married,0,0.526,-0.10762556240365462
2007,urban,west nile,18,never attended,currently married,0,0.486,-0.8396152505858784
2008,rural,north,6,primary/middle school,never married,0,0.475,-1.0409124148359898
2009,urban,eastern,20,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
2010,urban,kampala,9,primary/middle school,never married,0,0.639,1.9602453067111254
2011,rural,western,29,primary/middle school,currently married,0,0.499,-0.6017186019266556
2012,urban,kampala,13,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
2013,rural,eastern,20,primary/middle school,currently living with partner,1,0.526,-0.10762556240365462
2014,rural,central 1,13,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
2015,rural,central 2,24,primary/middle school,currently living with partner,0,0.586,0.990358969869679
2016,rural,north,11,primary/middle school,currently married,0,0.475,-1.0409124148359898
2017,rural,east central,9,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
2018,rural,south west,30,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
2019,urban,kampala,30,primary/middle school,currently married,1,0.639,1.9602453067111254
2020,rural,eastern,14,primary/middle school,currently married,0,0.526,-0.10762556240365462
2021,rural,central 2,36,never attended,currently living with partner,0,0.586,0.990358969869679
2022,rural,central 2,40,never attended,widow or widower,0,0.586,0.990358969869679
2023,urban,eastern,38,primary/middle school,currently married,1,0.526,-0.10762556240365462
2024,urban,east central,17,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
2025,rural,north,15,secondary/post-primary,currently living with partner,0,0.475,-1.0409124148359898
2026,rural,western,18,primary/middle school,currently married,0,0.499,-0.6017186019266556
2027,rural,western,23,primary/middle school,currently living with partner,1,0.499,-0.6017186019266556
2028,rural,east central,29,never attended,currently married,1,0.53,-0.03442659358543225
2029,rural,north,18,primary/middle school,currently married,1,0.475,-1.0409124148359898
2030,rural,western,14,secondary/post-primary,never married,0,0.499,-0.6017186019266556
2031,rural,south west,11,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2032,rural,karamoja,38,never attended,divorced or separated,0,0.45,-1.4984059699498786
2033,rural,east central,21,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
2034,urban,south west,41,primary/middle school,currently married,0,0.518,-0.2540235000400994
2035,urban,south west,17,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2036,rural,eastern,8,primary/middle school,never married,0,0.526,-0.10762556240365462
2037,urban,kampala,26,tertiary/post-secondary,currently married,1,0.639,1.9602453067111254
2038,rural,western,19,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
2039,rural,karamoja,31,never attended,currently living with partner,0,0.45,-1.4984059699498786
2040,rural,north,30,primary/middle school,currently married,0,0.475,-1.0409124148359898
2041,rural,north,35,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
2042,rural,central 2,9,secondary/post-primary,never married,0,0.586,0.990358969869679
2043,rural,eastern,33,primary/middle school,currently married,0,0.526,-0.10762556240365462
2044,urban,kampala,17,primary/middle school,currently married,0,0.639,1.9602453067111254
2045,rural,western,13,primary/middle school,currently married,0,0.499,-0.6017186019266556
2046,rural,south west,32,never attended,currently living with partner,0,0.518,-0.2540235000400994
2047,rural,north,19,primary/middle school,divorced or separated,1,0.475,-1.0409124148359898
2048,rural,north,34,never attended,currently married,0,0.475,-1.0409124148359898
2049,rural,south west,21,never attended,currently living with partner,0,0.518,-0.2540235000400994
2050,urban,kampala,30,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
2051,rural,western,34,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
2052,rural,north,10,primary/middle school,currently married,1,0.475,-1.0409124148359898
2053,rural,central 1,17,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
2054,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
2055,urban,kampala,7,primary/middle school,never married,0,0.639,1.9602453067111254
2056,rural,east central,26,primary/middle school,currently married,0,0.53,-0.03442659358543225
2057,rural,east central,11,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
2058,urban,kampala,11,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
2059,urban,kampala,34,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
2060,rural,west nile,35,primary/middle school,currently married,0,0.486,-0.8396152505858784
2061,urban,east central,20,primary/middle school,currently married,0,0.53,-0.03442659358543225
2062,rural,west nile,24,primary/middle school,currently living with partner,0,0.486,-0.8396152505858784
2063,rural,central 1,31,primary/middle school,divorced or separated,0,0.54,0.14857082846012368
2064,rural,central 2,10,primary/middle school,currently living with partner,0,0.586,0.990358969869679
2065,urban,kampala,11,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
2066,urban,south west,41,never attended,currently married,0,0.518,-0.2540235000400994
2067,rural,central 1,34,primary/middle school,currently married,1,0.54,0.14857082846012368
2068,urban,central 1,17,tertiary/post-secondary,currently living with partner,0,0.54,0.14857082846012368
2069,rural,south west,26,never attended,currently living with partner,0,0.518,-0.2540235000400994
2070,rural,eastern,24,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
2071,rural,central 1,37,primary/middle school,currently married,0,0.54,0.14857082846012368
2072,rural,west nile,14,primary/middle school,currently married,0,0.486,-0.8396152505858784
2073,rural,eastern,15,secondary/post-primary,never married,0,0.526,-0.10762556240365462
2074,rural,east central,22,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
2075,urban,kampala,22,secondary/post-primary,currently married,0,0.639,1.9602453067111254
2076,rural,south west,26,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2077,rural,western,12,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
2078,rural,north,21,never attended,currently living with partner,0,0.475,-1.0409124148359898
2079,rural,south west,16,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2080,rural,west nile,28,never attended,currently married,0,0.486,-0.8396152505858784
2081,urban,kampala,10,secondary/post-primary,never married,0,0.639,1.9602453067111254
2082,rural,eastern,23,tertiary/post-secondary,currently married,0,0.526,-0.10762556240365462
2083,rural,eastern,16,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
2084,rural,north,18,never attended,currently married,0,0.475,-1.0409124148359898
2085,urban,south west,17,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
2086,urban,karamoja,18,primary/middle school,currently living with partner,0,0.45,-1.4984059699498786
2087,rural,karamoja,32,never attended,widow or widower,0,0.45,-1.4984059699498786
2088,rural,western,8,primary/middle school,never married,0,0.499,-0.6017186019266556
2089,rural,eastern,7,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
2090,rural,east central,26,never attended,currently living with partner,0,0.53,-0.03442659358543225
2091,urban,kampala,16,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
2092,rural,karamoja,26,never attended,currently married,0,0.45,-1.4984059699498786
2093,rural,east central,19,primary/middle school,currently married,0,0.53,-0.03442659358543225
2094,rural,south west,14,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
2095,rural,north,27,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
2096,rural,east central,21,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
2097,rural,western,28,primary/middle school,currently married,0,0.499,-0.6017186019266556
2098,rural,eastern,20,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
2099,rural,south west,27,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2100,rural,central 1,11,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
2101,urban,kampala,12,secondary/post-primary,never married,0,0.639,1.9602453067111254
2102,rural,east central,8,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
2103,rural,eastern,16,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
2104,rural,west nile,19,tertiary/post-secondary,divorced or separated,0,0.486,-0.8396152505858784
2105,rural,east central,39,primary/middle school,currently married,0,0.53,-0.03442659358543225
2106,rural,east central,12,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
2107,urban,kampala,7,primary/middle school,never married,0,0.639,1.9602453067111254
2108,urban,north,12,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
2109,rural,western,32,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
2110,urban,kampala,34,primary/middle school,currently married,0,0.639,1.9602453067111254
2111,rural,west nile,32,never attended,currently married,0,0.486,-0.8396152505858784
2112,urban,east central,19,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
2113,rural,south west,39,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2114,urban,north,28,primary/middle school,currently married,0,0.475,-1.0409124148359898
2115,rural,east central,9,primary/middle school,never married,0,0.53,-0.03442659358543225
2116,rural,western,13,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
2117,rural,western,24,primary/middle school,currently married,0,0.499,-0.6017186019266556
2118,rural,central 1,16,primary/middle school,currently married,0,0.54,0.14857082846012368
2119,rural,central 2,28,never attended,currently living with partner,0,0.586,0.990358969869679
2120,rural,western,35,primary/middle school,currently married,0,0.499,-0.6017186019266556
2121,urban,central 1,19,secondary/post-primary,currently married,0,0.54,0.14857082846012368
2122,rural,north,29,primary/middle school,currently married,0,0.475,-1.0409124148359898
2123,rural,eastern,6,secondary/post-primary,never married,0,0.526,-0.10762556240365462
2124,rural,south west,16,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
2125,rural,east central,18,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
2126,urban,kampala,17,secondary/post-primary,never married,0,0.639,1.9602453067111254
2127,rural,central 2,20,primary/middle school,currently living with partner,0,0.586,0.990358969869679
2128,urban,east central,27,primary/middle school,currently married,0,0.53,-0.03442659358543225
2129,rural,west nile,7,primary/middle school,never married,0,0.486,-0.8396152505858784
2130,urban,kampala,27,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
2131,urban,kampala,12,primary/middle school,never married,0,0.639,1.9602453067111254
2132,rural,east central,11,secondary/post-primary,never married,0,0.53,-0.03442659358543225
2133,urban,central 2,9,primary/middle school,currently living with partner,0,0.586,0.990358969869679
2134,rural,central 1,17,tertiary/post-secondary,currently married,0,0.54,0.14857082846012368
2135,rural,west nile,25,primary/middle school,currently married,0,0.486,-0.8396152505858784
2136,rural,east central,22,secondary/post-primary,divorced or separated,1,0.53,-0.03442659358543225
2137,rural,eastern,12,primary/middle school,currently married,0,0.526,-0.10762556240365462
2138,rural,east central,36,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
2139,rural,west nile,28,primary/middle school,currently living with partner,0,0.486,-0.8396152505858784
2140,rural,west nile,30,primary/middle school,currently married,0,0.486,-0.8396152505858784
2141,urban,kampala,13,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
2142,rural,western,19,primary/middle school,never married,0,0.499,-0.6017186019266556
2143,urban,western,19,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
2144,urban,kampala,17,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
2145,rural,south west,9,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2146,rural,central 1,31,never attended,widow or widower,0,0.54,0.14857082846012368
2147,urban,kampala,40,primary/middle school,divorced or separated,1,0.639,1.9602453067111254
2148,urban,kampala,17,secondary/post-primary,currently married,0,0.639,1.9602453067111254
2149,urban,kampala,13,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
2150,rural,south west,31,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2151,rural,central 2,11,primary/middle school,currently living with partner,0,0.586,0.990358969869679
2152,rural,south west,24,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2153,rural,east central,18,primary/middle school,currently married,0,0.53,-0.03442659358543225
2154,rural,north,28,primary/middle school,currently married,1,0.475,-1.0409124148359898
2155,rural,north,9,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
2156,rural,western,15,tertiary/post-secondary,currently living with partner,0,0.499,-0.6017186019266556
2157,rural,east central,31,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
2158,rural,western,26,primary/middle school,currently married,1,0.499,-0.6017186019266556
2159,rural,central 2,39,primary/middle school,currently married,0,0.586,0.990358969869679
2160,rural,karamoja,26,never attended,currently married,0,0.45,-1.4984059699498786
2161,rural,south west,41,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
2162,rural,eastern,21,tertiary/post-secondary,currently living with partner,1,0.526,-0.10762556240365462
2163,urban,kampala,16,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
2164,rural,north,11,secondary/post-primary,never married,0,0.475,-1.0409124148359898
2165,rural,western,26,primary/middle school,currently married,0,0.499,-0.6017186019266556
2166,rural,karamoja,24,never attended,currently married,0,0.45,-1.4984059699498786
2167,rural,north,25,primary/middle school,currently married,0,0.475,-1.0409124148359898
2168,rural,south west,37,never attended,currently married,0,0.518,-0.2540235000400994
2169,urban,western,40,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
2170,urban,central 2,12,primary/middle school,currently living with partner,0,0.586,0.990358969869679
2171,urban,east central,9,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
2172,rural,north,18,never attended,currently married,0,0.475,-1.0409124148359898
2173,rural,eastern,30,primary/middle school,currently married,0,0.526,-0.10762556240365462
2174,rural,central 2,11,secondary/post-primary,never married,0,0.586,0.990358969869679
2175,urban,kampala,9,secondary/post-primary,never married,0,0.639,1.9602453067111254
2176,rural,south west,8,secondary/post-primary,never married,0,0.518,-0.2540235000400994
2177,rural,karamoja,17,never attended,currently living with partner,0,0.45,-1.4984059699498786
2178,rural,north,23,secondary/post-primary,divorced or separated,1,0.475,-1.0409124148359898
2179,rural,east central,14,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
2180,rural,south west,11,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
2181,rural,karamoja,12,never attended,currently married,0,0.45,-1.4984059699498786
2182,urban,east central,40,primary/middle school,currently married,0,0.53,-0.03442659358543225
2183,rural,central 2,14,primary/middle school,currently married,0,0.586,0.990358969869679
2184,urban,kampala,13,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
2185,rural,north,26,never attended,currently married,0,0.475,-1.0409124148359898
2186,urban,kampala,12,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
2187,urban,kampala,24,primary/middle school,currently married,1,0.639,1.9602453067111254
2188,urban,kampala,12,secondary/post-primary,never married,1,0.639,1.9602453067111254
2189,rural,central 2,38,primary/middle school,divorced or separated,0,0.586,0.990358969869679
2190,rural,karamoja,15,never attended,currently living with partner,0,0.45,-1.4984059699498786
2191,rural,north,40,primary/middle school,currently married,0,0.475,-1.0409124148359898
2192,urban,kampala,9,secondary/post-primary,currently married,0,0.639,1.9602453067111254
2193,rural,east central,14,primary/middle school,divorced or separated,1,0.53,-0.03442659358543225
2194,rural,central 2,16,primary/middle school,currently living with partner,0,0.586,0.990358969869679
2195,rural,west nile,11,primary/middle school,never married,0,0.486,-0.8396152505858784
2196,rural,central 1,8,primary/middle school,never married,0,0.54,0.14857082846012368
2197,rural,north,17,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
2198,rural,south west,12,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
2199,rural,western,7,secondary/post-primary,never married,0,0.499,-0.6017186019266556
